"","stratum","name","Year","FirstVisit","LastVisit","Strata","States","nBirdSpecies","CompletedGrids","CompletedPoints","nPriority","DensitySpeciesCount","DensityRobustCV","DensityPrioritySpecies","OccupancySpeciesCount","OccupancyRobustCV","OccupancyPrioritySpecies","PlannedGrids","LongStratum","is_superstratum"
"1","USFS-Region 1 National Forests","Region 1 National Forests: Total",2023,45075,45123,29,3,164,164,1821,5,201,111,11,208,122,11,167,"",TRUE
"2","Beaverhead-Deerlodge National Forest","Beaverhead-Deerlodge National Forest",2023,45090,45119,2,1,62,11,111,0,119,29,0,121,31,0,11,"",TRUE
"3","Bitterroot National Forest","Bitterroot National Forest",2023,45079,45122,3,2,70,12,158,2,118,27,3,119,28,3,12,"",TRUE
"4","Clearwater National Forest","Clearwater National Forest",2023,45111,45123,2,1,48,9,75,2,107,16,4,107,19,4,10,"",TRUE
"5","Custer National Forest","Custer National Forest",2023,45080,45121,4,2,103,14,155,9,160,46,15,160,53,15,15,"",TRUE
"6","Flathead National Forest","Flathead National Forest",2023,45098,45111,2,1,65,10,139,1,109,30,4,112,32,4,10,"",TRUE
"7","Gallatin National Forest","Gallatin National Forest",2023,45076,45119,2,1,58,10,94,0,119,27,3,119,27,3,10,"",TRUE
"8","Helena National Forest","Helena National Forest",2023,45099,45121,2,1,63,9,122,1,128,32,3,130,35,3,9,"",TRUE
"9","Idaho Panhandle National Forest","Idaho Panhandle National Forest",2023,45081,45121,2,1,74,26,277,5,118,44,9,121,47,9,26,"",TRUE
"10","Kootenai National Forest","Kootenai National Forest",2023,45075,45119,3,2,83,30,303,5,136,39,10,143,40,10,30,"",TRUE
"11","Lewis and Clark National Forest","Lewis and Clark National Forest",2023,45092,45120,3,1,71,13,170,2,126,22,5,127,23,5,13,"",TRUE
"12","Lolo National Forest","Lolo National Forest",2023,45092,45121,2,1,80,11,125,1,132,34,5,132,38,5,11,"",TRUE
"13","Nez Perce National Forest","Nez Perce National Forest",2023,45085,45120,2,1,61,9,92,1,111,18,6,112,19,6,10,"",TRUE
"14","USFS-Region 1 National Grasslands 2013-Present","Region 1 National Grasslands: Total",2023,45069,45113,3,2,88,16,182,5,126,26,7,127,29,7,17,"",TRUE
"15","ND-BCR17-MG","Little Missouri National Grassland",2023,45084,45107,1,1,60,6,66,12,101,23,0,101,24,0,6,"ND-BCR17-MG: Little Missouri National Grassland",FALSE
"16","ND-BCR17-RG","Cedar River National Grassland",2023,45087,45113,1,1,29,4,34,10,77,11,6,78,11,6,5,"ND-BCR17-RG: Cedar River National Grassland",FALSE
"17","SD-BCR17-RG","Grand River National Grassland",2023,45069,45086,1,1,51,6,82,12,76,14,0,76,15,0,6,"SD-BCR17-RG: Grand River National Grassland",FALSE
"18","USFS-Region 2 National Forests","Region 2 National Forests: Total",2023,45069,45130,22,4,170,157,1702,13,219,109,24,225,120,24,163,"",TRUE
"19","CO-BCR16-AR","Arapaho and Roosevelt National Forests",2023,45077,45129,1,1,80,20,202,11,107,37,7,107,37,7,20,"CO-BCR16-AR: Arapaho and Roosevelt National Forests",FALSE
"20","WY-BCR10-BI","Bighorn National Forest",2023,45088,45127,1,1,61,9,101,7,100,19,5,100,20,5,9,"WY-BCR10-BI: Bighorn National Forest",FALSE
"21","Black Hills National Forest","Black Hills National Forest",2023,45069,45118,2,2,63,11,111,3,98,24,8,100,26,9,14,"",TRUE
"22","CO-BCR16-GM","Grand Mesa, Uncompaghre and Gunnison National Forests",2023,45090,45130,1,1,52,7,74,3,105,20,6,106,20,6,7,"CO-BCR16-GM: Grand Mesa; Uncompahgre and Gunnison National Forests",FALSE
"23","Medicine Bow National Forest","Medicine Bow National Forest",2023,45087,45126,2,1,92,17,170,5,138,34,6,137,35,6,17,"",TRUE
"24","Nebraska National Forests","Nebraska National Forests (Nebraska and Samuel R. McKelvie)",2023,45075,45105,3,1,60,10,116,1,NA,NA,NA,NA,NA,NA,12,"",TRUE
"25","CO-BCR16-PS","Pike and San Isabel National Forests",2023,45084,45118,1,1,65,9,103,4,96,24,0,96,25,0,9,"CO-BCR16-PS: Pike and San Isabel National Forests",FALSE
"26","Rio Grande National Forest","Rio Grande National Forest",2023,45098,45126,3,1,72,11,137,6,126,33,6,126,36,6,12,"",TRUE
"27","Routt National Forest","Routt National Forest",2023,45100,45126,2,1,78,15,147,3,119,34,3,122,34,3,15,"",TRUE
"28","CO-BCR16-SA","San Juan National Forest",2023,45086,45127,1,1,96,17,184,10,123,42,5,124,44,5,17,"CO-BCR16-SA: San Juan National Forest",FALSE
"29","Shoshone National Forest","Shoshone National Forest",2023,45101,45126,2,1,72,10,143,4,142,18,5,145,18,5,10,"",TRUE
"30","White River National Forest","White River National Forest",2023,45098,45125,3,1,83,21,214,5,121,47,6,122,54,6,21,"",TRUE
"31","USFS-Region 2 National Grasslands 2013-Present","Region 2 National Grasslands: Total",2023,45054,45113,7,4,105,35,400,12,NA,NA,NA,NA,NA,NA,37,"",TRUE
"32","Nebraska National Grasslands","Nebraska National Grasslands (Buffalo Gap, Fort Pierre and Oglala)",2023,45069,45113,4,2,78,16,189,8,136,11,13,136,15,13,18,"",TRUE
"33","KS-BCR18-CM","Cimarron National Grassland",2023,45054,45055,1,1,36,4,41,13,43,6,1,44,6,1,4,"KS-BCR18-CM: Cimarron National Grassland",FALSE
"34","CO-BCR18-CO","Comanche National Grassland",2023,45069,45079,1,1,29,7,69,6,93,7,2,91,8,1,7,"CO-BCR18-CO: Comanche National Grassland",FALSE
"35","CO-BCR18-PG","Public Lands on Pawnee National Grassland",2023,45062,45079,1,1,30,8,101,11,46,7,2,46,7,2,8,"CO-BCR18-PG: Pawnee National Grassland - Public Lands",FALSE
"36","WY-BCR17-TB","Thunder Basin National Grassland",2023,45070,45090,1,1,50,8,99,18,102,10,2,103,10,2,8,"WY-BCR17-TB: Thunder Basin National Grassland",FALSE
"37","Coronado National Forest","Coronado National Forest",2023,45050,45085,2,2,124,20,197,25,135,47,28,141,52,30,20,"",TRUE
"38","Kaibab National Forest","Kaibab National Forest",2023,45047,45098,2,1,110,38,451,3,135,61,3,137,65,3,38,"",TRUE
"39","USFS-Region 4 National Forests","Region 4 National Forest Total",2023,45065,45125,36,6,175,145,1394,5,211,116,10,217,121,11,147,"",TRUE
"40","Ashley National Forest","Ashley National Forest",2023,45073,45118,3,2,63,10,118,3,119,13,8,119,14,8,10,"",TRUE
"41","Boise National Forest","Boise National Forest",2023,45099,45118,2,1,80,11,97,4,113,34,7,113,36,7,11,"",TRUE
"42","Bridger-Teton National Forest","Bridger-Teton National Forest",2023,45104,45125,2,1,75,10,113,1,129,17,6,131,19,7,10,"",TRUE
"43","Caribou-Targhee National Forest","Caribou-Targhee National Forest",2023,45078,45120,6,3,97,14,148,0,152,27,3,155,29,3,14,"",TRUE
"44","Dixie National Forest","Dixie National Forest",2023,45065,45108,2,1,77,10,104,0,113,28,0,113,31,0,10,"",TRUE
"45","Fishlake National Forest","Fishlake National Forest",2023,45069,45109,2,1,69,10,101,0,105,34,0,106,36,0,10,"",TRUE
"46","Humboldt-Toiyabe National Forest","Humboldt-Toiyabe National Forest",2023,45071,45114,5,2,101,19,179,4,130,30,4,133,31,5,19,"",TRUE
"47","Manti-La Sal National Forest","Manti-La Sal National Forest",2023,45083,45113,3,2,75,13,111,0,145,23,4,145,26,4,14,"",TRUE
"48","ID-BCR10-PA","Payette National Forest",2023,45107,45121,1,1,72,11,89,0,115,23,7,116,26,7,11,"ID-BCR10-PA: Payette National Forest",FALSE
"49","Salmon-Challis National Forest","Salmon-Challis National Forest",2023,45096,45120,2,1,55,11,94,5,117,26,7,117,28,7,11,"",TRUE
"50","Sawtooth National Forest","Sawtooth National Forest",2023,45087,45120,3,2,75,12,105,2,128,31,2,128,31,2,12,"",TRUE
"51","Uinta-Wasatch-Cache National Forest","Uinta-Wasatch-Cache National Forest",2023,45076,45123,5,2,81,14,135,0,124,19,0,125,22,0,15,"",TRUE
"52","ID-BCR9-CU","Curlew National Grassland",2023,45075,45077,1,1,38,5,58,7,78,7,0,78,7,0,5,"ID-BCR9-CU: Curlew National Grassland",FALSE
"53","CO-BLM","BLM in Colorado: Total",2023,45061,45125,13,1,144,90,997,22,134,82,19,134,84,19,92,"",TRUE
"54","CO-BCR10-BLM","BLM in Colorado BCR 10",2023,45069,45113,3,1,74,14,162,2,67,15,1,67,15,1,14,"",TRUE
"55","CO-BCR16-BLM","BLM in Colorado BCR 16",2023,45061,45125,10,1,135,76,835,5,126,80,4,126,80,4,78,"",TRUE
"56","CO-BLM - Kremmling Field Office","Kremmling Field Office",2023,45086,45113,2,1,61,8,83,4,54,9,1,54,10,1,8,"",TRUE
"57","CO-BLM - Little Snake Field Office","Little Snake Field Office",2023,45069,45110,2,1,74,17,199,2,67,28,2,67,30,2,17,"",TRUE
"58","CO-BLM - White River Field Office","White River Field Office",2023,45062,45104,2,1,86,14,173,3,71,27,1,71,28,1,14,"",TRUE
"59","CO-BCR16-CR","Colorado River Valley Field Office",2023,45072,45115,1,1,70,7,66,6,66,19,1,66,19,1,7,"CO-BCR16-CR: Bureau of Land Management - Colorado River Valley",FALSE
"60","CO-BCR16-GJ","Grand Junction Field Office",2023,45062,45105,1,1,56,9,95,7,50,21,1,50,21,1,11,"CO-BCR16-GJ: Bureau of Land Management - Grand Junction",FALSE
"61","CO-BCR16-GU","Gunnison Field Office",2023,45097,45125,1,1,66,7,85,7,54,21,1,54,22,1,7,"CO-BCR16-GU: Bureau of Land Management - Gunnison",FALSE
"62","CO-BCR16-RG","Royal Gorge Field Office",2023,45076,45118,1,1,55,7,62,4,53,24,0,53,24,0,7,"CO-BCR16-RG: Bureau of Land Management - Royal Gorge",FALSE
"63","CO-BCR16-SL","San Luis Valley Field Office",2023,45101,45116,1,1,42,7,80,7,37,13,2,37,14,2,7,"CO-BCR16-SL: Bureau of Land Management - San Luis Valley",FALSE
"64","CO-BCR16-TR","Tres Rios Field Office",2023,45063,45089,1,1,64,7,87,7,59,21,1,59,23,1,7,"CO-BCR16-TR: Bureau of Land Management - Tres Rios",FALSE
"65","CO-BCR16-UN","Uncompahgre Field Office",2023,45061,45114,1,1,68,7,67,9,63,12,2,63,14,2,7,"CO-BCR16-UN: Bureau of Land Management - Uncompahgre",FALSE
"66","ID-BLM","BLM in Idaho: Total",2023,45073,45121,21,1,157,69,804,16,194,79,22,198,84,22,69,"",TRUE
"67","ID-BCR9-BLM","BLM in Idaho BCR 9",2023,45073,45110,12,1,124,45,547,12,177,60,20,180,65,20,45,"",TRUE
"68","ID-BCR10-BLM","BLM in Idaho BCR 10",2023,45080,45117,8,1,108,22,240,9,156,53,19,156,58,19,22,"",TRUE
"69","ID-BLM - Challis Field Office","Challis Field Office",2023,45084,45098,2,1,36,5,61,4,98,10,10,100,10,10,5,"",TRUE
"70","ID-BLM - Cottonwood Field Office","Cottonwood Field Office",2023,45086,45109,2,1,54,5,41,3,103,23,6,103,25,6,5,"",TRUE
"71","ID-BCR10-CA","Coeur d'Alene Field Office",2023,45098,45117,1,1,44,5,43,2,84,17,7,84,17,7,5,"ID-BCR10-CA: Bureau of Land Management - Coeur d'Alene Field Office",FALSE
"72","ID-BCR10-FR","Four Rivers Field Office",2023,45094,45106,1,1,36,3,40,3,78,6,10,77,8,10,3,"ID-BCR10-FR: Bureau of Land Management - Four Rivers Field Office",FALSE
"73","ID-BLM - Pocatello Field Office","Pocatello Field Office",2023,45085,45121,3,1,74,7,86,4,113,14,9,114,15,9,7,"",TRUE
"74","ID-BLM - Salmon Field Office","Salmon Field Office",2023,45083,45110,2,1,54,5,51,4,92,15,7,92,17,7,5,"",TRUE
"75","ID-BLM - Shoshone Field Office","Shoshone Field Office",2023,45073,45084,2,1,48,5,74,4,99,9,11,98,9,11,5,"",TRUE
"76","ID-BLM - Upper Snake Field Office","Upper Snake Field Office",2023,45074,45098,2,1,54,6,76,7,85,7,10,85,8,10,6,"",TRUE
"77","ID-BCR9-BR","Bruneau Field Office",2023,45076,45091,1,1,45,5,44,7,97,6,10,97,6,10,5,"ID-BCR9-BR: Bureau of Land Management - Bruneau Field Office",FALSE
"78","ID-BCR9-BU","Burley Field Office",2023,45075,45087,1,1,38,5,58,7,74,7,15,76,7,15,5,"ID-BCR9-BU: Bureau of Land Management - Burley Field Office",FALSE
"79","ID-BCR9-JA","Jarbridge Field Office",2023,45075,45094,1,1,19,5,61,5,39,4,9,39,4,9,5,"ID-BCR9-JA: Bureau of Land Management - Jarbidge Field Office",FALSE
"80","ID-BCR9-OW","Owyhee Field Office",2023,45084,45093,1,1,43,5,62,4,90,6,11,90,8,11,5,"ID-BCR9-OW: Bureau of Land Management - Owyhee Field Office",FALSE
"81","MT-BLM","BLM in Montana: Total",2023,45067,45118,5,1,140,33,482,16,180,45,20,182,50,21,35,"",TRUE
"82","MT-BCR10-BLM","BLM in Montana BCR 10",2023,45073,45118,2,1,63,7,87,2,138,18,10,139,19,10,7,"",TRUE
"83","MT-BCR11-BLM","BLM in Montana BCR 11",2023,45067,45095,2,1,91,17,257,14,109,29,14,113,32,15,18,"",TRUE
"84","MT-BCR17-BL","BLM in Montana BCR 17",2023,45068,45095,1,1,71,9,138,17,108,17,13,108,18,13,10,"MT-BCR17-BL: Bureau of Land Management",FALSE
"85","OR-BCR9 BLM","BLM in Oregon BCR 9",2023,45062,45112,4,1,65,32,380,0,120,27,0,123,29,0,32,"",TRUE
"86","OR-BCR9-BU","Burns District: BCR9",2023,45078,45103,1,1,33,8,84,0,79,10,2,80,11,2,8,"OR-BCR9-BU: Bureau of Land Management - Burns District",FALSE
"87","OR-BCR9-LA","Lakeview and Medford Districts: BCR9",2023,45062,45065,1,1,38,8,119,1,69,10,4,70,10,4,8,"OR-BCR9-LA: Bureau of Land Management - Lakeview and Medford Districts",FALSE
"88","OR-BCR9-PR","Prineville District: BCR9",2023,45068,45072,1,1,45,8,107,0,83,12,3,84,13,3,8,"OR-BCR9-PR: Bureau of Land Management - Prineville District",FALSE
"89","OR-BCR9-VA","Vale District: BCR9",2023,45093,45112,1,1,23,8,70,0,40,9,2,40,9,2,8,"OR-BCR9-VA: Bureau of Land Management - Vale District",FALSE
"90","OR-BCR10 BLM","BLM in Oregon BCR 10",2023,45070,45107,3,1,67,24,252,1,107,32,3,108,37,3,24,"",TRUE
"91","OR-BCR10-BU","Burns District: BCR10",2023,45085,45107,1,1,46,8,79,0,78,15,0,79,16,0,8,"OR-BCR10-BU: Bureau of Land Management - Burns District",FALSE
"92","OR-BCR10-PR","Prineville District: BCR10",2023,45070,45082,1,1,47,8,87,0,80,16,2,80,17,2,8,"OR-BCR10-PR: Bureau of Land Management - Prineville District",FALSE
"93","OR-BCR10-VA","Vale District: BCR10",2023,45097,45106,1,1,39,8,86,1,58,10,1,58,10,1,8,"OR-BCR10-VA: Bureau of Land Management - Vale District",FALSE
"94","ND-BCR17-BM","BLM in North Dakota BCR 17",2023,45089,45106,1,1,57,4,54,15,113,8,5,113,9,5,5,"ND-BCR17-BM: Bureau of Land Management",FALSE
"95","SD-BCR17-BM","BLM in South Dakota BCR 17",2023,45089,45113,1,1,61,4,48,15,138,5,17,138,6,17,5,"SD-BCR17-BM: Bureau of Land Management",FALSE
"96","UT-BLM","BLM in Utah: Total",2023,45052,45112,19,1,121,80,911,23,160,70,30,161,72,30,80,"",TRUE
"97","UT-BCR9 BLM","BLM in Utah BCR 9",2023,45058,45098,5,1,75,25,295,16,130,28,24,132,31,24,25,"",TRUE
"98","UT-BCR10 BLM","BLM in Utah BCR 10",2023,45072,45111,2,1,51,6,84,9,79,17,14,79,16,14,6,"",TRUE
"99","UT-BCR16 BLM","BLM in Utah BCR 16",2023,45052,45112,11,1,103,46,497,15,138,63,22,138,65,22,46,"",TRUE
"100","UT-BLM - Cedar City Field Office","Cedar City Field Office",2023,45057,45086,2,1,62,7,77,10,101,13,14,101,14,14,7,"",TRUE
"101","UT-BLM - Fillmore Field Office","Fillmore Field Office",2023,45063,45098,2,1,53,10,118,10,85,6,13,86,7,13,10,"",TRUE
"102","UT-BCR16-KA","Kanab Field Office",2023,45052,45080,1,1,38,3,34,7,78,8,13,77,8,13,3,"UT-BCR16-KA: Bureau of Land Management - Kanab Field Office",FALSE
