Species,State_Abb,Designation,Observations
Blue-winged Warbler,OK,Tier II,0
Sedge Wren,MT,S3B,0
Trumpeter Swan,SD,2b,0
Yellow-billed Cuckoo,UT,S2B,0
Chestnut-collared Longspur,NM,Species of Greatest Conservation Need,0
Solitary Sandpiper,OK,Tier III,0
Ferruginous Hawk,ND,Level I,0
Least Tern,OK,Tier II,0
Short-eared Owl,ND,Level II,0
Sharp-tailed Grouse,UT,S2,0
Thick-billed Longspur,TX,S4,0
White-faced Ibis,CO,Tier 2,0
Burrowing Owl,AZ,Tier 1B,0
Clark's Nutcracker,NM,Species of Greatest Conservation Need,0
Yellow Rail,ND,Level I,0
Mountain Plover,MT,S2B,0
Flammulated Owl,CO,Tier 2,0
Whooping Crane,OK,Tier III,0
American Golden-Plover,KS,Tier II,0
Golden-fronted Woodpecker,OK,Tier III,0
Yellow-throated Warbler,KS,Tier II,0
Red-crowned Parrot,TX,S2,0
Peregrine Falcon,NM,Species of Greatest Conservation Need,0
Peregrine Falcon,NM,State Threatened,0
Long-billed Curlew,NM,Species of Greatest Conservation Need,0
Brown Pelican,TX,S3B,0
American White Pelican,TX,S2B,0
American White Pelican,TX,S3N,0
Black-necked Stilt,MT,S3B,0
Snowy Plover,CO,Special Concern,0
Snowy Plover,CO,Tier 2,0
Varied Bunting,AZ,Tier 1C,0
American White Pelican,SD,2b,0
Ferruginous Hawk,AZ,Tier 1B,0
Least Bittern,AZ,Tier 1C,0
Black-backed Woodpecker,MT,S3,0
Sage Thrasher,AZ,Tier 1C,0
Gunnison Sage-Grouse,UT,S2,0
Black Rail,OK,Tier II,0
Sprague's Pipit,ND,Level I,0
Clark's Grebe,NM,Species of Greatest Conservation Need,0
Peregrine Falcon,TX,S3,0
Ladder-backed Woodpecker,KS,Tier II,0
Le Conte's Sparrow,MT,S3B,0
Pileated Woodpecker,TX,S4B,0
Snowy Plover,NE,Tier II,0
Baird's Sparrow,AZ,Tier 1C,0
Wilson's Plover,TX,S4B,0
Common Loon,ID,Tier II,0
Cerulean Warbler,OK,Tier II,0
Kentucky Warbler,KS,Tier II,0
Boreal Owl,CO,Tier 2,0
Zone-tailed Hawk,TX,S3B,0
Yellow-billed Cuckoo,AZ,Tier 1A,0
Black Rosy-Finch,CO,Tier 2,0
Gilded Flicker,AZ,Tier 1B,0
Common Loon,WY,Tier I,0
Franklin's Gull,WY,Tier II,0
Buff-collared Nightjar,AZ,Tier 1B,0
Le Conte's Sparrow,ND,Level II,0
Northern Pintail,KS,Tier II,0
Peregrine Falcon,NE,Tier II,0
Yellow-billed Cuckoo,WY,Tier II,0
Blue-gray Gnatcatcher,MT,S2B,0
Sulphur-bellied Flycatcher,AZ,Tier 1B,0
Harris's Sparrow,KS,Tier II,0
Violet-crowned Hummingbird,AZ,Tier 1B,0
Forster's Tern,TX,S5,0
Red-cockaded Woodpecker,OK,Tier I,0
Pygmy Nuthatch,WY,Tier II,0
Snowy Plover,TX,S3B,0
White-faced Ibis,TX,S4B,0
Eastern Meadowlark,AZ,Tier 1C,0
Gray Vireo,WY,Tier II,0
Greater Prairie-Chicken,TX,S1B,0
Black-billed Cuckoo,WY,Tier II,0
Henslow's Sparrow,KS,Tier II,0
Abert's Towhee,AZ,Tier 1B,0
Pinyon Jay,ID,Tier II,0
White-faced Ibis,WY,Tier II,0
Acadian Flycatcher,NE,Tier II,0
American Dipper,AZ,Tier 1B,0
Golden-cheeked Warbler,TX,S2B,0
Le Conte's Sparrow,OK,Tier II,0
Mountain Plover,OK,Tier I,0
Sprague's Pipit,AZ,Tier 1A,0
Sprague's Pipit,NE,Tier I,0
Trumpeter Swan,NE,Tier II,0
Franklin's Gull,TX,S2,0
King Rail,NE,Tier II,0
Canvasback,KS,Tier II,0
Reddish Egret,TX,S3B,0
Baird's Sparrow,NM,Species of Greatest Conservation Need,0
Baird's Sparrow,NM,State Threatened,0
Short-eared Owl,NE,Tier I,0
Burrowing Owl,MT,S3B,0
Lewis's Woodpecker,UT,S3,0
Cassin's Sparrow,NM,Species of Greatest Conservation Need,0
Henslow's Sparrow,TX,S2,0
Henslow's Sparrow,TX,S3N,0
Henslow's Sparrow,TX,SXB,0
Williamson's Sapsucker,NM,Species of Greatest Conservation Need,0
Clark's Grebe,NE,Tier II,0
Semipalmated Sandpiper,KS,Tier II,0
Pied-billed Grebe,NE,Tier II,0
Golden Eagle,ND,Level II,0
Long-billed Curlew,TX,S3B,0
Long-billed Curlew,TX,S5N,0
Wood Duck,AZ,Tier 1B,0
Sooty Tern,TX,S2B,0
Black Rail,AZ,Tier 1B,0
Forster's Tern,KS,Tier II,0
Harris's Sparrow,OK,Tier III,0
Snowy Egret,WY,Tier II,0
Cassin's Sparrow,AZ,Tier 1C,0
Northern Pintail,TX,S3B,0
Northern Pintail,TX,S5N,0
Western Screech-Owl,AZ,Tier 1C,0
Bobolink,ID,Tier II,0
Purple Martin,WY,Tier III,0
Black Rosy-Finch,MT,S2,0
Aplomado Falcon,NM,Species of Greatest Conservation Need,0
Aplomado Falcon,NM,State Endangered,0
Henslow's Sparrow,NE,Tier I,0
Hook-billed Kite,TX,S2,0
Virginia Rail,AZ,Tier 1C,0
Black Swift,NM,Species of Greatest Conservation Need,0
Tufted Titmouse,NE,Tier II,0
Curve-billed Thrasher,KS,Tier II,0
Kentucky Warbler,TX,S3B,0
Yellow-breasted Chat,AZ,Tier 1C,0
Least Tern,AZ,Tier 1A,0
Mountain Plover,AZ,Tier 1B,0
Lewis's Woodpecker,AZ,Tier 1C,0
Cocos Flycatcher,NE,Tier II,0
Lesser Prairie-Chicken,NM,Species of Greatest Conservation Need,0
Short-eared Owl,KS,Tier II,0
Common Ground-Dove,NM,Species of Greatest Conservation Need,0
Common Ground-Dove,NM,State Endangered,0
Grasshopper Sparrow,NM,Species of Greatest Conservation Need,0
Grasshopper Sparrow,NM,State Endangered,0
Loggerhead Shrike,NM,Species of Greatest Conservation Need,0
Rose-throated Becard,AZ,Tier 1B,0
Snowy Plover,WY,Tier III,0
American Golden-Plover,TX,S3,0
Marsh Wren,AZ,Tier 1C,0
Osprey,SD,1,0
Osprey,SD,State Threatened,0
Lesser Scaup,OK,Tier III,0
Brown-headed Nuthatch,OK,Tier II,0
Boreal Owl,UT,S2,0
Prairie Falcon,OK,Tier III,0
Red Knot,TX,S3N,0
Short-eared Owl,CO,Tier 2,0
Franklin's Gull,ND,Level I,0
Least Tern,ND,Level II,0
Dark-eyed Junco,NE,Tier II,0
Forster's Tern,WY,Tier II,0
Lesser Scaup,NE,Tier II,0
Varied Bunting,NM,Species of Greatest Conservation Need,0
Varied Bunting,NM,State Threatened,0
Merlin,NE,Tier II,0
Mississippi Kite,NE,Tier II,0
Bald Eagle,NM,Species of Greatest Conservation Need,0
Bald Eagle,NM,State Threatened,0
Buff-breasted Sandpiper,TX,S2S3,0
Mottled Duck,TX,S4B,0
Tricolored Heron,TX,S5B,0
Least Bittern,KS,Tier II,0
Clark's Grebe,WY,Tier II,0
Eared Grebe,NM,Species of Greatest Conservation Need,0
Painted Redstart,NM,Species of Greatest Conservation Need,0
Trumpeter Swan,OK,Tier III,0
Gray Hawk,TX,S2B,0
Buff-breasted Sandpiper,NE,Tier I,0
Common Black-Hawk,AZ,Tier 1C,0
Greater Sage-Grouse,ND,Level I,0
Pinyon Jay,NE,Tier I,0
American Woodcock,OK,Tier III,0
Snowy Egret,TX,S5B,0
American Bittern,NM,Species of Greatest Conservation Need,0
Caspian Tern,WY,Tier II,0
Yellow-billed Cuckoo,MT,S3B,0
Botteri's Sparrow,NM,Species of Greatest Conservation Need,0
Thick-billed Longspur,OK,Tier II,0
Mountain Quail,ID,Tier II,0
Prairie Warbler,OK,Tier II,0
Smith's Longspur,TX,S3,0
Canvasback,NE,Tier II,0
Thick-billed Longspur,AZ,Tier 1C,0
Buff-breasted Flycatcher,AZ,Tier 1B,0
Northern Pintail,OK,Tier III,0
Rusty Blackbird,TX,S3,0
Black-capped Vireo,TX,S2B,0
Nelson's Sparrow,OK,Tier III,0
Clark's Grebe,ID,Tier II,0
White-tailed Ptarmigan,NM,Species of Greatest Conservation Need,0
White-tailed Ptarmigan,NM,State Endangered,0
Least Sandpiper,KS,Tier II,0
Nelson's Sparrow,ND,Level I,0
Blue-throated Hummingbird,AZ,Tier 1B,0
Snowy Egret,OK,Tier III,0
Red-headed Woodpecker,NM,Species of Greatest Conservation Need,0
Black Tern,SD,2a,0
Thick-billed Kingbird,AZ,Tier 1B,0
Piping Plover,SD,1,0
Piping Plover,SD,State Threatened,0
Piping Plover,CO,State Threatened,0
Piping Plover,CO,Tier 2,0
Western Grebe,NE,Tier II,0
American Oystercatcher,TX,S3B,0
Whiskered Screech-Owl,NM,Species of Greatest Conservation Need,0
Whiskered Screech-Owl,NM,State Threatened,0
Spotted Owl,CO,State Threatened,0
Spotted Owl,CO,Tier 2,0
White-headed Woodpecker,ID,Tier III,0
Chestnut-collared Longspur,AZ,Tier 1C,0
Marbled Godwit,KS,Tier II,0
Cassin's Finch,NM,Species of Greatest Conservation Need,0
Black-crowned Night-Heron,NE,Tier II,0
Peregrine Falcon,MT,S3,0
Elegant Trogon,NM,Species of Greatest Conservation Need,0
Elegant Trogon,NM,State Endangered,0
Golden Eagle,TX,S3B,0
Western Sandpiper,TX,S5,0
American Pipit,AZ,Tier 1C,0
Mountain Plover,NM,Species of Greatest Conservation Need,0
Smith's Longspur,OK,Tier II,0
Brown-capped Rosy-Finch,NM,Species of Greatest Conservation Need,0
Northern Saw-whet Owl,NE,Tier II,0
Canvasback,ND,Level II,0
Flammulated Owl,NM,Species of Greatest Conservation Need,0
Scaled Quail,KS,Tier II,0
Prairie Falcon,ND,Level II,0
Chestnut-collared Longspur,OK,Tier II,0
Bendire's Thrasher,UT,SU,0
Lesser Prairie-Chicken,TX,S2B,0
Great Gray Owl,MT,S3,0
Smith's Longspur,KS,Tier II,0
Clark's Grebe,MT,S3B,0
Black-bellied Whistling-Duck,AZ,Tier 1C,0
Bank Swallow,NM,Species of Greatest Conservation Need,0
Wood Stork,TX,S2N,0
Wood Stork,TX,SHB,0
American Tree Sparrow,KS,Tier II,0
Ruffed Grouse,SD,3,0
Bald Eagle,TX,S3B,0
Bald Eagle,TX,S3N,0
Pileated Woodpecker,NE,Tier II,0
Piping Plover,MT,S2B,0
Stilt Sandpiper,TX,S3,0
Lewis's Woodpecker,NM,Species of Greatest Conservation Need,0
Botteri's Sparrow,TX,S3B,0
Least Tern,NM,Species of Greatest Conservation Need,0
Least Tern,NM,State Endangered,0
Bobolink,CO,Tier 2,0
Green Parakeet,TX,S3,0
Worm-eating Warbler,TX,S3B,0
Yellow-billed Cuckoo,NM,Species of Greatest Conservation Need,0
Snowy Plover,AZ,Tier 1B,0
Henslow's Sparrow,OK,Tier I,0
Pacific Wren,AZ,Tier 1B,0
Black Swift,ID,Tier II,0
Cinnamon Teal,NE,Tier II,0
Baird's Sparrow,NE,Tier I,0
Trumpeter Swan,ID,Tier II,0
Virginia Rail,WY,Tier III,0
Chuck-will's-widow,TX,S3S4B,0
Yellow Rail,MT,S3B,0
Cerulean Warbler,TX,S3N,0
Cerulean Warbler,TX,SHB,0
Rusty Blackbird,OK,Tier III,0
Thick-billed Kingbird,NM,Species of Greatest Conservation Need,0
Thick-billed Kingbird,NM,State Endangered,0
Whooping Crane,CO,State Endangered,0
Whooping Crane,CO,Tier 2,0
American Bittern,KS,Tier II,0
Black Rosy-Finch,UT,S1,0
Brown-capped Rosy-Finch,WY,Tier II,0
Swallow-tailed Kite,TX,S2B,0
Savannah Sparrow,AZ,Tier 1B,0
American White Pelican,UT,S3B,0
Cattle Egret,WY,Tier II,0
Common Black-Hawk,NM,Species of Greatest Conservation Need,0
Common Black-Hawk,NM,State Threatened,0
Chestnut-collared Longspur,KS,Tier II,0
Costa's Hummingbird,NM,Species of Greatest Conservation Need,0
Costa's Hummingbird,NM,State Threatened,0
Prairie Falcon,AZ,Tier 1C,0
Prothonotary Warbler,NE,Tier II,0
Western Grebe,AZ,Tier 1C,0
American Dipper,SD,1,0
American Dipper,SD,State Threatened,0
Black-billed Magpie,AZ,Tier 1B,0
Horned Grebe,MT,S3B,0
Long-billed Curlew,KS,Tier II,0
Bachman's Sparrow,OK,Tier I,0
Snowy Plover,KS,State Threatened,0
Snowy Plover,KS,Tier I,0
Long-eared Owl,AZ,Tier 1C,0
Snowy Plover,NM,Species of Greatest Conservation Need,0
Hudsonian Godwit,TX,S2,0
Black-tailed Gnatcatcher,AZ,Tier 1C,0
Great Egret,AZ,Tier 1C,0
Willow Flycatcher,OK,Tier III,0
Burrowing Owl,ND,Level II,0
Black-capped Gnatcatcher,AZ,Tier 1B,0
Boreal Owl,NM,Species of Greatest Conservation Need,0
Boreal Owl,NM,State Threatened,0
Yellow-throated Warbler,TX,S4B,0
Kentucky Warbler,OK,Tier III,0
Black Tern,WY,Tier II,0
Peregrine Falcon,KS,Tier II,0
Flammulated Owl,WY,Tier III,0
Canvasback,OK,Tier III,0
Greater Prairie-Chicken,OK,Tier III,0
Red Knot,ND,Level III,0
Black Tern,ID,Tier II,0
Mexican Chickadee,AZ,Tier 1B,0
Snowy Plover,OK,Tier I,0
Spotted Owl,TX,S1B,0
Greater Yellowlegs,KS,Tier II,0
Black Tern,TX,S3,0
Pinyon Jay,OK,Tier III,0
Piping Plover,NE,Tier I,0
Gray-crowned Rosy-Finch,MT,S2B,0
Gray-crowned Rosy-Finch,MT,S5N,0
Swainson's Warbler,TX,S3B,0
Piping Plover,KS,State Threatened,0
Piping Plover,KS,Tier I,0
Snowy Egret,AZ,Tier 1C,0
Colima Warbler,TX,S3B,0
Lewis's Woodpecker,SD,3,0
Red-faced Warbler,NM,Species of Greatest Conservation Need,0
Buff-breasted Sandpiper,OK,Tier II,0
King Rail,TX,S3B,0
Townsend's Solitaire,NE,Tier II,0
American Golden-Plover,OK,Tier III,0
Rufous-winged Sparrow,AZ,Tier 1B,0
Scaled Quail,AZ,Tier 1C,0
Montezuma Quail,TX,S3B,0
Least Tern,SD,1,0
Least Tern,SD,State Endangered,0
Abert's Towhee,NM,Species of Greatest Conservation Need,0
Abert's Towhee,NM,State Threatened,0
Hudsonian Godwit,KS,Tier II,0
Black-capped Vireo,OK,Tier I,0
Little Blue Heron,TX,S5B,0
Black Rail,TX,S2B,0
Black-necked Stilt,NE,Tier II,0
Caspian Tern,UT,S3B,0
Northern Bobwhite,AZ,Tier 1A,0
Eastern Whip-poor-will,KS,Tier II,0
Swainson's Warbler,OK,Tier II,0
Wilson's Phalarope,OK,Tier III,0
Common Black-Hawk,TX,S2B,0
Swainson's Hawk,AZ,Tier 1C,0
American Bittern,MT,S3B,0
Scissor-tailed Flycatcher,NE,Tier II,0
Violet-crowned Hummingbird,NM,Species of Greatest Conservation Need,0
Violet-crowned Hummingbird,NM,State Threatened,0
Least Tern,NE,Tier I,0
Baird's Sparrow,KS,Tier II,0
Black Rail,KS,Tier II,0
Elf Owl,NM,Species of Greatest Conservation Need,0
Orchard Oriole,TX,S4B,0
Band-tailed Pigeon,UT,S3B,0
Rusty Blackbird,KS,Tier II,0
Lewis's Woodpecker,NE,Tier II,0
Sora,AZ,Tier 1C,0
American Three-toed Woodpecker,SD,3,0
Louisiana Waterthrush,TX,S3B,0
Barrow's Goldeneye,CO,Tier 2,0
Whooping Crane,KS,State Endangered,0
Whooping Crane,KS,Tier I,0
Cerulean Warbler,KS,Tier II,0
Chuck-will's-widow,KS,Tier II,0
Black Skimmer,TX,S4B,0
American Bittern,ID,Tier II,0
Lucy's Warbler,NM,Species of Greatest Conservation Need,0
Piping Plover,OK,Tier III,0
White-tailed Hawk,TX,S4B,0
American Woodcock,TX,S2B,0
American Woodcock,TX,S3N,0
Willow Flycatcher,NM,Species of Greatest Conservation Need,0
Willow Flycatcher,NM,State Endangered ,0
Short-eared Owl,TX,S4N,0
Horned Grebe,ND,Level I,0
Grasshopper Sparrow,AZ,Tier 1B,0
Pine Siskin,NE,Tier II,0
Red-shouldered Hawk,NE,Tier II,0
Thick-billed Longspur,ND,Level III,0
Golden Eagle,OK,Tier III,0
Piping Plover,TX,S2,0
Swallow-tailed Kite,OK,Tier III,0
Hudsonian Godwit,OK,Tier III,0
Whooping Crane,TX,S1,0
White-tailed Ptarmigan,MT,S3,0
Worm-eating Warbler,OK,Tier II,0
Pectoral Sandpiper,KS,Tier II,0
Scott's Oriole,WY,Tier II,0
Louisiana Waterthrush,NE,Tier II,0
Stilt Sandpiper,KS,Tier II,0
Thick-billed Longspur,NM,Species of Greatest Conservation Need,0
Whooping Crane,NE,Tier I,0
Sprague's Pipit,NM,Species of Greatest Conservation Need,0
Mexican Whip-poor-will,NM,Species of Greatest Conservation Need,0
Summer Tanager,NE,Tier II,0
Golden-winged Warbler,OK,Tier III,0
Red Knot,OK,Tier III,0
Black Swift,CO,Tier 2,0
Mississippi Kite,AZ,Tier 1B,0
Upland Sandpiper,CO,Tier 2,0
Wood Thrush,TX,S4B,0
Chuck-will's-widow,NE,Tier II,0
Hooded Warbler,OK,Tier II,0
American Bittern,CO,Tier 2,0
Baird's Sparrow,WY,Tier II,0
Carolina Chickadee,TX,S5B,0
Lesser Prairie-Chicken,OK,Tier II,0
Common Poorwill,KS,Tier II,0
Neotropic Cormorant,NM,Species of Greatest Conservation Need,0
Neotropic Cormorant,NM,State Threatened,0
Eastern Meadowlark,NE,Tier II,0
Canada Jay,AZ,Tier 1B,0
Sprague's Pipit,TX,S3N,0
Western Grebe,KS,Tier II,0
Black Tern,CO,Tier 2,0
Black-crowned Night-Heron,MT,S3B,0
Lesser Prairie-Chicken,CO,State Threatened,0
Lesser Prairie-Chicken,CO,Tier 1,0
Alder Flycatcher,MT,S3B,0
Ferruginous Pygmy-Owl,TX,S3B,0
Greater Sage-Grouse,SD,3,0
Prothonotary Warbler,TX,S3B,0
Mountain Plover,TX,S2,0
Red-shouldered Hawk,TX,S4B,0
Swainson's Thrush,AZ,Tier 1B,0
Yellow-billed Cuckoo,ID,Tier I,0
Clark's Grebe,AZ,Tier 1C,0
Willow Flycatcher,AZ,Tier 1A,0
Ferruginous Hawk,TX,S2B,0
Ferruginous Hawk,TX,S4N,0
Wood Stork,OK,Tier III,0
Sedge Wren,TX,S4,0
Whooping Crane,SD,1,0
Whooping Crane,SD,State Endangered,0
Le Conte's Sparrow,TX,S3,0
American Bittern,WY,Tier II,0
Ferruginous Hawk,KS,Tier II,0
Black Tern,NE,Tier I,0
Sagebrush Sparrow,MT,S3B,0
Peregrine Falcon,ND,Level III,0
Wilson's Phalarope,KS,Tier II,0
Black-bellied Plover,KS,Tier II,0
Elf Owl,AZ,Tier 1C,0
Golden Eagle,KS,Tier II,0
Greater Prairie-Chicken,ND,Level II,0
Seaside Sparrow,TX,S4B,0
Franklin's Gull,ID,Tier III,0
Baird's Sparrow,OK,Tier III,0
Gull-billed Tern,TX,S4B,0
Aplomado Falcon,TX,S1,0
Burrowing Owl,NM,Species of Greatest Conservation Need,0
Least Tern,TX,S3B,0
Whooping Crane,MT,S1M,0
Boreal Owl,WY,Tier II,0
Baird's Sparrow,TX,S2,0
Black Tern,MT,S3B,0
Le Conte's Sparrow,SD,3,0
American Woodcock,NE,Tier II,0
Eastern Whip-poor-will,NE,Tier II,0
Snowy Plover,UT,S3B,0
Eared Grebe,KS,Tier II,0
Yellow Rail,KS,Tier II,0
American Avocet,NE,Tier II,0
Western Sandpiper,OK,Tier III,0
Brewer's Sparrow,ND,Level III,0
Cocos Flycatcher,AZ,Tier 1C,0
